lemma,normalized_lemma,part_of_speech,sense_position,definition,tags,polish_translations,cefr,wordnet_synsets,frequency_rank
cat,cat,noun,17,A street name of the drug methcathinone.,slang,,cefr_j:A1,,1678
cat,cat,noun,18,Abbreviation of catapult.,abbreviation|alt-of,,cefr_j:A1,,1678
cat,cat,noun,19,Abbreviation of catalytic converter.,abbreviation|alt-of,,cefr_j:A1,,1678
cat,cat,noun,20,Abbreviation of catamaran.,abbreviation|alt-of,,cefr_j:A1,,1678
cat,cat,noun,21,Abbreviation of category.,abbreviation|alt-of,,cefr_j:A1,,1678
cat,cat,noun,22,Abbreviation of catfish.,abbreviation|alt-of,,cefr_j:A1,,1678
cat,cat,noun,23,Abbreviation of caterpillar.,slang,,cefr_j:A1,,1678
cat,cat,noun,24,Abbreviation of caterpillar.,,,cefr_j:A1,,1678
cat,cat,noun,25,"Abbreviation of computed axial tomography; often used attributively, as in “CAT scan” or “CT scan”.",abbreviation|alt-of,,cefr_j:A1,,1678
cat,cat,verb,0,To hoist (an anchor) by its ring so that it hangs at the cathead.,transitive,,,,1678
cat,cat,verb,1,To flog with a cat-o'-nine-tails.,transitive,,,01414524-v,1678
cat,cat,verb,2,To vomit.,archaic|slang,wymiotować,,,1678
cat,cat,verb,3,To go wandering at night.,,,,,1678
cat,cat,verb,4,To gossip in a catty manner.,,,,,1678
cat,cat,verb,5,To apply the cat command to (one or more files).,transitive,,,,1678
cat,cat,verb,6,"To dump large amounts of data on (an unprepared target), usually with no intention of browsing it carefully.",slang,,,,1678
cat,cat,adjective,0,"Catastrophic; terrible, disastrous.",Ireland|colloquial|not-comparable,,,,1678
gratis,gratis,adjective,0,Free: without charge.,not-comparable,,,,
gratis,gratis,adverb,0,In a free way: without charge.,not-comparable,,,00259685-r,
word,word,noun,0,"The smallest unit of language that has a particular meaning and can be expressed by itself; the smallest discrete, meaningful unit of language. (contrast morpheme.)",countable|uncountable,słowo|wyraz,cefr_j:A1,06297048-n,217
word,word,noun,1,Something like such a unit of language:,countable|uncountable,,cefr_j:A1,06297048-n,217
word,word,noun,2,"The fact or act of speaking, as opposed to taking action. .",countable|uncountable,,cefr_j:A1,,217
