lemma,pos,level,source
audience,noun,A2,cefr_j
audio,adjective,A2,cefr_j
audit,noun,B2,cefr_j
audition,noun,B2,cefr_j
author,noun,A2,cefr_j
authoritative,adjective,B2,cefr_j
authorize/authorise,verb,B2,cefr_j
automatically,adverb,A2,cefr_j
auxiliary,adjective,B1,cefr_j
availability,noun,B2,cefr_j
average,adjective,A2,cefr_j
average,noun,A2,cefr_j
avoid,verb,A2,cefr_j
await,verb,B2,cefr_j
award,noun,A2,cefr_j
award,verb,B1,cefr_j
aware,adjective,B1,cefr_j
awesome,adjective,B1,cefr_j
awful,adjective,A2,cefr_j
awkward,adjective,B1,cefr_j
ax/axe,noun,B2,cefr_j
babysit,verb,B1,cefr_j
babysitter,noun,B1,cefr_j
backache,noun,B1,cefr_j
background,noun,A2,cefr_j
backpack,noun,B1,cefr_j
backpacker,noun,B1,cefr_j
backpacking,noun,B1,cefr_j
backup,noun,B2,cefr_j
backward/backwards,adverb,B2,cefr_j
backyard,noun,B2,cefr_j
bacon,noun,B1,cefr_j
badge,noun,B2,cefr_j
badly,adverb,A2,cefr_j
badminton,noun,A2,cefr_j
bad-tempered,adjective,B2,cefr_j
bake,verb,A2,cefr_j
baker,noun,B1,cefr_j
bakery,noun,B1,cefr_j
balanced,adjective,B2,cefr_j
balcony,noun,A2,cefr_j
balky,adjective,B2,cefr_j
ballad,noun,B2,cefr_j
ballet,noun,B2,cefr_j
balloon,noun,A2,cefr_j
ballot,noun,B2,cefr_j
bandage,noun,B1,cefr_j
bank account,noun,B1,cefr_j
banker,noun,B2,cefr_j
banking,noun,A2,cefr_j
barbecue,noun,A2,cefr_j
barbecue,verb,B1,cefr_j
barbershop,noun,B2,cefr_j
barely,adverb,B1,cefr_j
bargain,noun,A2,cefr_j
bargain,verb,B2,cefr_j
barley,noun,B2,cefr_j
barman,noun,B1,cefr_j
barometer,noun,B2,cefr_j
barrel,noun,B1,cefr_j
barren,adjective,B2,cefr_j
barrier,noun,B2,cefr_j
bartender,noun,B2,cefr_j
baseball,noun,A1,cefr_j
basement,noun,B1,cefr_j
basic,adjective,A2,cefr_j
basically,adverb,A2,cefr_j
bathe,verb,B1,cefr_j
bathhouse,noun,B2,cefr_j
battle,noun,B1,cefr_j
battlefield,noun,B2,cefr_j
bay,noun,A2,cefr_j
be,be-verb,A1,cefr_j
beagle,noun,B2,cefr_j
beak,noun,B2,cefr_j
beam,noun,B2,cefr_j
bean,noun,A1,cefr_j
bearing,noun,B2,cefr_j
beautifully,adverb,B1,cefr_j
beautify,verb,B2,cefr_j
because of,preposition,B1,cefr_j
bedroom,noun,A1,cefr_j
bedside,noun,B1,cefr_j
beef,noun,A1,cefr_j
been,be-verb,A2,cefr_j
beginning,noun,A2,cefr_j
behalf,noun,B1,cefr_j
behave,verb,B1,cefr_j
behavior/behaviour,noun,A2,cefr_j
behind,adverb,A1,cefr_j
behind,preposition,A1,cefr_j
being,noun,A2,cefr_j
bellow,verb,B2,cefr_j
belong,verb,A2,cefr_j
belongings,noun,B2,cefr_j
beloved,adjective,B1,cefr_j
below,adverb,A1,cefr_j
below,preposition,A1,cefr_j
beneath,preposition,B1,cefr_j
beneficial,adjective,B2,cefr_j
benevolence,noun,B2,cefr_j
benevolent,adjective,B2,cefr_j
beside,preposition,A1,cefr_j
besides,adverb,A2,cefr_j
besides,preposition,B1,cefr_j
bestseller,noun,B2,cefr_j
betray,verb,B2,cefr_j
bewilderment,noun,B2,cefr_j
beyond,preposition,A2,cefr_j
bidding,noun,B2,cefr_j
bikini,noun,B2,cefr_j
bilingual,adjective,B1,cefr_j
billion,noun,B2,cefr_j
bin,noun,B1,cefr_j
biochemistry,noun,B1,cefr_j
biography,noun,B1,cefr_j
biological,adjective,B2,cefr_j
biotechnology,noun,B2,cefr_j
birdcage,noun,B2,cefr_j
birthplace,noun,B2,cefr_j
biscuit,noun,A1,cefr_j
bitterly,adverb,B2,cefr_j
bizarre,adjective,B2,cefr_j
blank,adjective,A1,cefr_j
blast,noun,B2,cefr_j
blast,verb,B2,cefr_j
blaze,noun,B2,cefr_j
blaze,verb,B2,cefr_j
blend,noun,B2,cefr_j
blend,verb,B1,cefr_j
blind,adjective,B1,cefr_j
blindly,adverb,B2,cefr_j
blindness,noun,B2,cefr_j
blink,verb,B2,cefr_j
block,noun,A1,cefr_j
block,verb,B1,cefr_j
blogger,noun,B1,cefr_j
bloodstream,noun,B2,cefr_j
bloody,adjective,B2,cefr_j
bloody,adverb,B2,cefr_j
bloom,noun,A2,cefr_j
blossom,noun,B2,cefr_j
blur,verb,B2,cefr_j
blurt,noun,B2,cefr_j
blush,noun,B1,cefr_j
blush,verb,B2,cefr_j
board game,noun,A2,cefr_j
boast,verb,B1,cefr_j
boil,verb,A2,cefr_j
boiled,adjective,A2,cefr_j
boldly,adverb,B1,cefr_j
bomber,noun,B2,cefr_j
bombing,noun,B2,cefr_j
bond,noun,B1,cefr_j
bonus,noun,A2,cefr_j
bony,adjective,B2,cefr_j
bookcase,noun,A2,cefr_j
booking,noun,B1,cefr_j
bookish,adjective,B2,cefr_j
