entry_key,sense_position,definition
pound|noun,15,A division inside a fishing stage where cod is cured in salt brine.
pound|noun,16,A hard blow.
pound|verb,1,"To confine in, or as in, a pound; to impound."
pound|verb,2,"To strike hard, usually repeatedly."
pound|verb,4,To eat or drink very quickly.
pound|verb,5,To pitch consistently to a certain location.
pound|verb,6,To beat strongly or throb.
pound|verb,7,"To penetrate sexually, with vigour."
pound|verb,9,"To make a jarring noise, as when running."
gdp|noun,0,Initialism of gross domestic product.
gdp|noun,1,"Initialism of guanosine diphosphate, a nucleotide."
pond|noun,1,An inland body of standing water of any size that is fed by springs rather than by a river.
pond|noun,2,Chiefly in across the pond: the Atlantic Ocean.
nonsense|noun,0,"Letters or words, in writing or speech, that have no meaning or pattern or seem to have no meaning."
nonsense|noun,1,An untrue statement.
nonsense|noun,2,"That which is silly, illogical and lacks any meaning, reason or value; that which does not make sense."
nonsense|noun,3,Something foolish.
nonsense|noun,4,"A type of poetry that contains strange or surreal ideas, as, for example, that written by Edward Lear."
nonsense|noun,5,"A damaged DNA sequence whose products are not biologically active, that is, that does nothing."
nonsense|adjective,0,Nonsensical.
nonsense|adjective,1,"Resulting from the substitution of a nucleotide in a sense codon, causing it to become a stop codon (not coding for an amino-acid)."
pie|noun,0,"A type of pastry that consists of an outer crust and a filling. (Savory pies are more popular in the UK and sweet pies are more popular in the US, so ""pie"" without qualification has different connotat"
pie|noun,1,"Any of various other, non-pastry dishes that maintain the general concept of a shell with a filling."
pie|noun,2,A pizza.
pie|noun,3,"A paper plate covered in cream, shaving foam or custard that is thrown or rubbed in someone’s face for comical purposes, to raise money for charity, or as a form of political protest; a custard pie; a"
pie|noun,4,"The whole of a wealth or resource, to be divided in parts."
pie|noun,5,An especially badly bowled ball.
pie|noun,6,A pie chart.
pie|noun,7,Something very easy; a piece of cake.
pie|noun,8,The vulva.
pie|noun,9,"A kilogram of drugs, especially cocaine."
pie|noun,10,Magpie.
pie|noun,11,A former low-denomination coin of northern India.
pie|noun,12,"Ellipsis of pie-dog (“an Indian breed, a stray dog in Indian contexts”)."
pie|noun,13,"A traditional Spanish unit of length, equivalent to about 27.9 cm."
pie|noun,14,"Alternative form of pi (“metal type that has been spilled, mixed together, or disordered”)."
a|noun,0,Ace. (including in card games)
a|noun,1,Acre.
a|noun,2,Adult; as used in film rating.
a|noun,3,Ammeter.
a|noun,4,Angstrom.
a|noun,5,Answer.
a|noun,6,An assist.
a|noun,7,Asexual.
a|noun,8,Arsehole.
a|noun,9,Atom.
crow|noun,1,Any of various dark-coloured nymphalid butterflies of the genus Euploea.
crow|noun,2,"A bar of iron with a beak, crook or claw; a bar of iron used as a lever; a crowbar."
crow|noun,3,Someone who keeps watch while their associates commit a crime; a lookout.
crow|noun,4,A gangplank (corvus) used by the Ancient Roman navy to board enemy ships.
crow|noun,5,The mesentery of an animal.
crow|noun,6,"An ill-tempered and obstinate woman, or one who otherwise has features resembling the bird; a harpy."
crow|noun,8,"The emblem of an eagle, a sign of military rank."
crow|noun,9,"The cry or call of a rooster or a cockerel, especially as heard at sunrise."
crow|noun,10,Alternative spelling of cro (“marijuana”).
crow|verb,0,"To use a crowbar, wedge, or other implement to attempt to open a surface by leveraging force on the opposite end of the tool to pry off the connection between the two surfaces."
crow|verb,1,"To make the shrill sound characteristic of a rooster; to make a sound in this manner, either in gaiety, joy, pleasure, or defiance."
