entry_key,sense_position,definition,lemma
book|noun,5,"A convenient collection, in a form resembling a book, of small paper items for individual use.",book
book|noun,6,The script of a musical or opera.,book
book|noun,8,"A book award, a recognition for receiving the highest grade in a class (traditionally an actual book, but recently more likely a letter or certificate acknowledging the achievement).",book
book|noun,9,Six tricks taken by one side.,book
book|noun,10,Four of a kind.,book
book|noun,11,"A document, held by the referee, of the incidents that happened in a game.",book
book|noun,12,A list of all players who have been booked (received a warning) in a game.,book
book|noun,13,The list of mares that a stallion will breed in a given season.,book
book|noun,14,A list of the races that a jockey is scheduled to ride in.,book
book|noun,15,The twenty-sixth Lenormand card.,book
book|noun,16,Any source of instruction.,book
book|noun,17,The accumulated body of knowledge passed down among black pimps.,book
book|noun,18,A portfolio of one's previous work in the industry.,book
book|noun,19,The sum of chess knowledge in the opening or endgame.,book
book|noun,20,A package of silk.,book
book|verb,2,To add a name to the list of people who are participating in something.,book
book|verb,3,To record the name and other details of a suspected offender and the offence for later judicial action.,book
book|verb,4,"To issue a caution to, usually a yellow card, or a red card if a yellow card has already been issued.",book
book|verb,5,To travel very fast.,book
book|verb,6,To record bets as bookmaker.,book
book|verb,7,To receive the highest grade in a class.,book
book|verb,8,"To move or leave, often hurriedly and abruptly.",book
book|verb,9,simple past of bake,book
pound|noun,0,A unit of weight in various measurement systems.,pound
pound|noun,1,A unit of weight in various measurement systems.,pound
pound|noun,3,A unit of mass in various measurement systems.,pound
pound|noun,4,A unit of force in various measurement systems,pound
pound|noun,5,A unit of force in various measurement systems,pound
pound|noun,6,A unit of force in various measurement systems,pound
pound|noun,8,A base unit of currency in various currency systems.,pound
pound|noun,9,The symbol #.,pound
pound|noun,10,A place for the detention of stray or wandering animals.,pound
pound|noun,11,The people who work for the pound.,pound
pound|noun,12,"A place for the detention of automobiles that have been illegally parked, abandoned, etc.",pound
pound|noun,13,A section of a canal between two adjacent locks.,pound
pound|noun,14,"A kind of fishing net, having a large enclosure with a narrow entrance into which fish are directed by wings spreading outward.",pound
pound|noun,15,A division inside a fishing stage where cod is cured in salt brine.,pound
pound|noun,16,A hard blow.,pound
pound|verb,0,To wager a pound on.,pound
pound|verb,1,"To confine in, or as in, a pound; to impound.",pound
pound|verb,3,To crush to pieces; to pulverize.,pound
pound|verb,4,To eat or drink very quickly.,pound
pound|verb,5,To pitch consistently to a certain location.,pound
pound|verb,8,To advance heavily with measured steps.,pound
pound|verb,9,"To make a jarring noise, as when running.",pound
gdp|noun,1,"Initialism of guanosine diphosphate, a nucleotide.",GDP
pond|noun,1,An inland body of standing water of any size that is fed by springs rather than by a river.,pond
pond|noun,2,Chiefly in across the pond: the Atlantic Ocean.,pond
pond|verb,0,To block the flow of water so that it can escape only through evaporation or seepage; to dam.,pond
pond|verb,1,"To make into a pond; to collect, as water, in a pond by damming.",pond
pond|verb,2,To form a pond; to pool.,pond
pond|verb,3,To ponder.,pond
pies|noun,0,plural of pie,pies
pies|verb,0,third-person singular simple present indicative of pie,pies
pies|verb,1,third-person singular simple present indicative of pi,pies
nonsense|noun,1,An untrue statement.,nonsense
nonsense|noun,2,"That which is silly, illogical and lacks any meaning, reason or value; that which does not make sense.",nonsense
nonsense|noun,3,Something foolish.,nonsense
nonsense|noun,4,"A type of poetry that contains strange or surreal ideas, as, for example, that written by Edward Lear.",nonsense
nonsense|noun,5,"A damaged DNA sequence whose products are not biologically active, that is, that does nothing.",nonsense
nonsense|verb,0,To make nonsense of;,nonsense
nonsense|verb,1,To attempt to dismiss as nonsense; to ignore or belittle the significance of something; to render unimportant or puny.,nonsense
nonsense|verb,2,"To joke around, to waste time",nonsense
nonsense|adjective,0,Nonsensical.,nonsense
nonsense|adjective,1,"Resulting from the substitution of a nucleotide in a sense codon, causing it to become a stop codon (not coding for an amino-acid).",nonsense
nonsense|interjection,0,An emphatic rejection of something one has just heard and does not believe or agree with.,nonsense
pie|noun,1,"Any of various other, non-pastry dishes that maintain the general concept of a shell with a filling.",pie
pie|noun,2,A pizza.,pie
pie|noun,3,"A paper plate covered in cream, shaving foam or custard that is thrown or rubbed in someone’s face for comical purposes, to raise money for charity, or as a form of political protest; a custard pie; a cream pie.",pie
pie|noun,4,"The whole of a wealth or resource, to be divided in parts.",pie
pie|noun,5,An especially badly bowled ball.,pie
pie|noun,6,A pie chart.,pie
pie|noun,7,Something very easy; a piece of cake.,pie
pie|noun,8,The vulva.,pie
pie|noun,9,"A kilogram of drugs, especially cocaine.",pie
pie|noun,10,Magpie.,pie
pie|noun,11,A former low-denomination coin of northern India.,pie
pie|noun,12,"Ellipsis of pie-dog (“an Indian breed, a stray dog in Indian contexts”).",pie
pie|noun,13,"A traditional Spanish unit of length, equivalent to about 27.9 cm.",pie
pie|noun,14,"Alternative form of pi (“metal type that has been spilled, mixed together, or disordered”).",pie
pie|verb,0,"To hit in the face with a pie, either for comic effect or as a means of protest (see also pieing).",pie
pie|verb,1,To go around (a corner) in a guarded manner.,pie
pie|verb,2,To ignore (someone).,pie
pie|verb,3,Alternative form of pi (“to spill or mix printing type”).,pie
a|character,0,"The first letter of the English alphabet, called a and written in the Latin script.",A
a|numeral,0,"The first numeral symbol of the English alphabet, called a and written in the Latin script.",A
a|symbol,0,"A rank, normally the highest rank, on any of various scales that assign letters.",A
a|symbol,1,The highest letter grade assigned (disregarding plusses and minuses).,A
a|symbol,2,A tone three fifths above C in the cycle of fifths; the sixth tone of the C major scale; the first note of the minor scale of A minor; the reference tone that occurs at exactly 440 Hz; the printed or written note A; the scale with A as its keynote.,A
a|symbol,3,A blood type that has a specific antigen that aggravates the immune response in people with type B antigen in their blood. People with this blood type may receive blood from type A or type O but cannot receive blood from AB or B.,A
a|symbol,4,Mass number.,A
a|symbol,5,A universal affirmative suggestion.,A
a|symbol,6,"Abbreviation of adulterer or adulteress, used as a human brand.",A
a|symbol,7,Allele dominant.,A
a|symbol,8,Alternative spelling of A.M. and AM (“ante meridiem”).,A
a|noun,1,Acre.,A
a|noun,2,Adult; as used in film rating.,A
a|noun,3,Ammeter.,A
a|noun,4,Angstrom.,A
a|noun,5,Answer.,A
a|noun,6,An assist.,A
a|noun,7,Asexual.,A
a|noun,8,Arsehole.,A
a|noun,9,Atom.,A
a|adjective,0,Atom; atomic.,A
crow|noun,1,Any of various dark-coloured nymphalid butterflies of the genus Euploea.,crow
crow|noun,3,Someone who keeps watch while their associates commit a crime; a lookout.,crow
crow|noun,4,A gangplank (corvus) used by the Ancient Roman navy to board enemy ships.,crow
crow|noun,5,The mesentery of an animal.,crow
crow|noun,6,"An ill-tempered and obstinate woman, or one who otherwise has features resembling the bird; a harpy.",crow
crow|noun,7,A black person.,crow
crow|noun,8,"The emblem of an eagle, a sign of military rank.",crow
crow|noun,9,"The cry or call of a rooster or a cockerel, especially as heard at sunrise.",crow
crow|noun,10,Alternative spelling of cro (“marijuana”).,crow
crow|adjective,0,"Dark black, the color of a crow; crow-black.",crow
crow|verb,0,"To use a crowbar, wedge, or other implement to attempt to open a surface by leveraging force on the opposite end of the tool to pry off the connection between the two surfaces.",crow
crow|verb,2,To shout in exultation or defiance; to brag.,crow
crow|verb,3,To test the reed of a double reed instrument by placing the reed alone in the mouth and blowing it.,crow
raven|noun,1,"Any of several, generally large, species of birds in the genus Corvus with lustrous black plumage; especially the common raven (Corvus corax).",raven
raven|noun,2,"Any of several, generally large, species of birds in the genus Corvus with lustrous black plumage; especially the common raven (Corvus corax).",raven
raven|noun,3,"Any of several, generally large, species of birds in the genus Corvus with lustrous black plumage; especially the common raven (Corvus corax).",raven
raven|noun,4,"Any of several, generally large, species of birds in the genus Corvus with lustrous black plumage; especially the common raven (Corvus corax).",raven
raven|noun,5,A person who brings bad news or makes pessimistic predictions.,raven
raven|noun,6,Alternative spelling of ravin.,raven
raven|adjective,1,Alternative spelling of ravin.,raven
raven|verb,0,Alternative spelling of ravin.,raven
raven|verb,1,Alternative spelling of ravin.,raven
raven|verb,2,Alternative spelling of ravin.,raven
raven|verb,3,Alternative spelling of ravin.,raven
elephant|noun,1,Anything huge and ponderous.,elephant
elephant|noun,2,Synonym of elephant paper.,elephant
elephant|noun,3,"used when counting to add length, so that each count takes about one second",elephant
elephant|noun,4,Ivory.,elephant
elephant|noun,5,"A xiangqi piece that is moved two points diagonally, may not jump over intervening pieces and may not cross the river.",elephant
pope julius|noun,0,A sixteenth-century gambling card game about which little is known.,Pope Julius
gnu fdl|noun,0,Partial initialism of GNU Free Documentation License.,GNU FDL
brown|noun,1,"One of the colour balls used in snooker, with a value of 4 points.",brown
brown|noun,2,Black tar heroin.,brown
brown|noun,3,A copper coin.,brown
brown|noun,4,A brown horse or other animal.,brown
brown|noun,5,"A person of mostly Latin American (or Latino), Middle Eastern/North African, South Asian, and sometimes Southeast Asian, Pacific Islander, or rarely Native American descent; a brown-skinned person; someone of mulatto, or biracial appearance.",brown
brown|noun,6,"Any of various nymphalid butterflies of subfamily Satyrinae (formerly the family Satyridae), such as those of the genera Heteronympha and Melanitis.",brown
brown|noun,7,A brown trout (Salmo trutta).,brown
brown|noun,8,A mass of birds or animals that may be indiscriminately fired at.,brown
brown|noun,9,A brown dye or pigment.,brown
brown|noun,10,"A pen, pencil, crayon, etc., made of brown pigment.",brown
brown|adjective,1,Gloomy.,brown
brown|adjective,2,Of or relating to any of various ethnic groups having dark pigmentation of the skin.,brown
brown|adjective,3,Of or relating to any of various ethnic groups having dark pigmentation of the skin.,brown
brown|adjective,4,Of or relating to any of various ethnic groups having dark pigmentation of the skin.,brown
brown|adjective,5,Not green (environmentally irresponsible); anti-green (against environmental protection).,brown
brown|verb,1,Synonym of poop (“to defecate”).,brown
brown|verb,3,To tan.,brown
brown|verb,4,To make brown or dusky.,brown
brown|verb,5,"To give a bright brown colour to, as to gun barrels, by forming a thin coating of oxide on their surface.",brown
brown|verb,6,"To turn progressively more Hispanic or Latino, in the context of the population of a geographic region.",brown
december|noun,1,A female given name transferred from the month name [in turn from English].,December
december|noun,2,A surname.,December
floccinaucinihilipilification|noun,0,"The act or habit of describing or regarding something as unimportant, of having no value or being worthless.",floccinaucinihilipilification
month|noun,1,"A period of 30 days, 31 days, or some alternation thereof.",month
month|noun,2,A woman's period; menstrual discharge.,month
january|noun,1,A female given name transferred from the month name [in turn from English].,January
february|noun,1,A female given name transferred from the month name [in turn from English].,February
march|noun,1,A journey so walked.,march
march|noun,5,The feat of taking all the tricks of a hand.,march
march|noun,8,Smallage.,march
march|verb,1,To cause someone to walk somewhere.,march
march|verb,2,To go to war; to make military advances.,march
march|verb,3,To make steady progress.,march
march|verb,4,To have common borders or frontiers,march
april|noun,1,A female given name transferred from the month name [in turn from English]; used since the early 20th century.,April
april|noun,2,A surname.,April
may|verb,0,To be strong; to have power (over).,may
may|verb,1,To be able; can.,may
may|verb,2,To be able to go.,may
may|verb,5,Expressing a wish (with present subjunctive effect).,may
